#MACRO
0x00000019	0xFC0007FF	_	_	multu	%s, %t
0x00000027	0xFC0007FF	_	_	nor	%d, %s, %t
0x00000025	0xFC0007FF	_	_	or	%d, %s, %t
0x34000000	0xFC000000	_	_	ori	%t, %s, %I
0x00200002	0xFFE0003F	_	_	rotr	%d, %t, %a
0x00000046	0xFC0007FF	_	_	rotv	%d, %t, %s
0x7C000420	0xFFE007FF	_	_	seb	%d, %t
0x7C000620	0xFFE007FF	_	_	seh	%d, %t
0xA0000000	0xFC000000	_	_	sb	%t, %o
0xE0000000	0xFC000000	_	_	sc	%t, %o
0xA4000000	0xFC000000	_	_	sh	%t, %o
0x00000004	0xFC0007FF	_	_	sllv	%d, %t, %s
0x00000000	0xFFE0003F	_	_	sll	%d, %t, %a
0x0000002A	0xFC0007FF	_	_	slt	%d, %s, %t
0x28000000	0xFC000000	_	_	slti	%t, %s, %i
0x2C000000	0xFC000000	_	_	sltiu	%t, %s, %i
0x0000002B	0xFC0007FF	_	_	sltu	%d, %s, %t
0x00000003	0xFFE0003F	_	_	sra	%d, %t, %a
0x00000007	0xFC0007FF	_	_	srav	%d, %t, %s
0x00000006	0xFC0007FF	_	_	srlv	%d, %t, %s
0x00000002	0xFFE0003F	_	_	srl	%d, %t, %a
0xAC000000	0xFC000000	_	_	sw	%t, %o
0xA8000000	0xFC000000	_	_	swl	%t, %o
0xB8000000	0xFC000000	_	_	swr	%t, %o
0x00000022	0xFC0007FF	_	_	sub	%d, %s, %t
0x00000023	0xFC0007FF	_	_	subu	%d, %s, %t
0x0000000F	0xFFFFFFFF	_	_	sync	
0x0000000C	0xFC00003F	_	_	syscall	%C
0x00000026	0xFC0007FF	_	_	xor	%d, %s, %t
0x38000000	0xFC000000	_	_	xori	%t, %s, %I
0x7C0000A0	0xFFE007FF	_	p	wsbh	%d, %t
0x7C0000E0	0xFFE007FF	_	p	wsbw	%d, %t
#FPU
0x46000005	0xFFFF003F	_	_	abs.s	%D, %S
0x46000000	0xFFE0003F	_	_	add.s	%D, %S, %T
0x45000000	0xFFFF0000	h	b	bc1f	%O
0x45020000	0xFFFF0000	h	b	bc1fl	%O
0x45010000	0xFFFF0000	h	b	bc1t	%O
0x45030000	0xFFFF0000	h	b	bc1tl	%O
0x46000030	0xFFE007FF	_	_	c.f.s	%S, %T
0x46000031	0xFFE007FF	_	_	c.un.s	%S, %T
0x46000032	0xFFE007FF	_	_	c.eq.s	%S, %T
0x46000033	0xFFE007FF	_	_	c.ueq.s	%S, %T
0x46000034	0xFFE007FF	_	_	c.olt.s	%S, %T
0x46000035	0xFFE007FF	_	_	c.ult.s	%S, %T
0x46000036	0xFFE007FF	_	_	c.ole.s	%S, %T
0x46000037	0xFFE007FF	_	_	c.ule.s	%S, %T
0x46000038	0xFFE007FF	_	_	c.sf.s	%S, %T
0x46000039	0xFFE007FF	_	_	c.ngle.s	%S, %T
0x4600003A	0xFFE007FF	_	_	c.seq.s	%S, %T
0x4600003B	0xFFE007FF	_	_	c.ngl.s	%S, %T
0x4600003C	0xFFE007FF	_	_	c.lt.s	%S, %T
0x4600003D	0xFFE007FF	_	_	c.nge.s	%S, %T
0x4600003E	0xFFE007FF	_	_	c.le.s	%S, %T
0x4600003F	0xFFE007FF	_	_	c.ngt.s	%S, %T
0x4600000E	0xFFFF003F	_	_	ceil.w.s	%D, %S
0x44400000	0xFFE007FF	_	_	cfc1	%t, %p
0x44c00000	0xFFE007FF	_	_	ctc1	%t, %p
0x46800020	0xFFFF003F	_	_	cvt.s.w	%D, %S
0x46000024	0xFFFF003F	_	_	cvt.w.s	%D, %S
0x46000003	0xFFE0003F	_	_	div.s	%D, %S, %T
0x4600000F	0xFFFF003F	_	_	floor.w.s	%D, %S
0xc4000000	0xFC000000	_	_	lwc1	%T, %o
0x44000000	0xFFE007FF	_	_	mfc1	%t, %1
0x46000006	0xFFFF003F	_	_	mov.s	%D, %S
0x44800000	0xFFE007FF	_	_	mtc1	%t, %1
0x46000002	0xFFE0003F	_	_	mul.s	%D, %S, %T
0x46000007	0xFFFF003F	_	_	neg.s	%D, %S
0x4600000C	0xFFFF003F	_	_	round.w.s	%D, %S
0x46000004	0xFFFF003F	_	_	sqrt.s	%D, %S
0x46000001	0xFFE0003F	_	_	sub.s	%D, %S, %T
0xe4000000	0xFC000000	_	_	swc1	%T, %o
0x4600000D	0xFFFF003F	_	_	trunc.w.s	%D, %S
#VPU
0x49000000	0xFFE30000	h	P	bvf	%Zc, %O
0x49020000	0xFFE30000	h	P	bvfl	%Zc, %O
0x49010000	0xFFE30000	h	P	bvt	%Zc, %O
0x49030000	0xFFE30000	h	P	bvtl	%Zc, %O
0xD8000000	0xFC000002	_	p	lv.q	%Xq, %Y
0xC8000000	0xFC000000	_	p	lv.s	%Xs, %Y
0xD4000000	0xFC000002	_	p	lvl.q	%Xq, %Y
0xD4000002	0xFC000002	_	p	lvr.q	%Xq, %Y
0x48600000	0xFFE0FF80	_	p	mfv	%t, %zs
0x48600000	0xFFE0FF00	_	p	mfvc	%t, %2d
0x48E00000	0xFFE0FF80	_	p	mtv	%t, %zs
0x48E00000	0xFFE0FF00	_	p	mtvc	%t, %2d
0xF8000000	0xFC000002	_	p	sv.q	%Xq, %Y
0xE8000000	0xFC000000	_	p	sv.s	%Xs, %Y
0xF4000000	0xFC000002	_	p	svl.q	%Xq, %Y
0xF4000002	0xFC000002	_	p	svr.q	%Xq, %Y
0xD0010080	0xFFFF8080	_	p	vabs.p	%zp, %yp
0xD0018080	0xFFFF8080	_	p	vabs.q	%zq, %yq
0xD0010000	0xFFFF8080	_	p	vabs.s	%zs, %ys
0xD0018000	0xFFFF8080	_	p	vabs.t	%zt, %yt
0x60000080	0xFF808080	_	p	vadd.p	%zp, %yp, %xp
0x60008080	0xFF808080	_	p	vadd.q	%zq, %yq, %xq
0x60000000	0xFF808080	_	p	vadd.s	%zs, %ys, %xs
0x60008000	0xFF808080	_	p	vadd.t	%zt, %yt, %xt
0xD0170080	0xFFFF8080	_	p	vasin.p	%zp, %yp
0xD0178080	0xFFFF8080	_	p	vasin.q	%zq, %yq
0xD0170000	0xFFFF8080	_	p	vasin.s	%zs, %ys
0xD0178000	0xFFFF8080	_	p	vasin.t	%zt, %yt
0xD0470080	0xFFFF8080	_	p	vavg.p	%zp, %yp
0xD0478080	0xFFFF8080	_	p	vavg.q	%zq, %yq
0xD0478000	0xFFFF8080	_	p	vavg.t	%zt, %yt
0xD0420080	0xFFFF8080	_	p	vbfy1.p	%zp, %yp
0xD0428080	0xFFFF8080	_	p	vbfy1.q	%zq, %yq
0xD0438080	0xFFFF8080	_	p	vbfy2.q	%zq, %yq
0xD2A80080	0xFFF88080	_	p	vcmovf.p	%zp, %yp, %v3
0xD2A88080	0xFFF88080	_	p	vcmovf.q	%zq, %yq, %v3
0xD2A80000	0xFFF88080	_	p	vcmovf.s	%zs, %ys, %v3
0xD2A88000	0xFFF88080	_	p	vcmovf.t	%zt, %yt, %v3
0xD2A00080	0xFFF88080	_	p	vcmovt.p	%zp, %yp, %v3
0xD2A08080	0xFFF88080	_	p	vcmovt.q	%zq, %yq, %v3
0xD2A00000	0xFFF88080	_	p	vcmovt.s	%zs, %ys, %v3
0xD2A08000	0xFFF88080	_	p	vcmovt.t	%zt, %yt, %v3
0x6C000080	0xFF8080F0	_	p	vcmp.p	%Zn, %yp, %xp
0x6C000080	0xFFFF80F0	_	p	vcmp.p	%Zn, %yp
0x6C000080	0xFFFFFFF0	_	p	vcmp.p	%Zn
0x6C008080	0xFF8080F0	_	p	vcmp.q	%Zn, %yq, %xq
0x6C008080	0xFFFF80F0	_	p	vcmp.q	%Zn, %yq
0x6C008080	0xFFFFFFF0	_	p	vcmp.q	%Zn
0x6C000000	0xFF8080F0	_	p	vcmp.s	%Zn, %ys, %xs
0x6C000000	0xFFFF80F0	_	p	vcmp.s	%Zn, %ys
0x6C000000	0xFFFFFFF0	_	p	vcmp.s	%Zn
0x6C008000	0xFF8080F0	_	p	vcmp.t	%Zn, %yt, %xt
0x6C008000	0xFFFF80F0	_	p	vcmp.t	%Zn, %yt
0x6C008000	0xFFFFFFF0	_	p	vcmp.t	%Zn
0xD0130080	0xFFFF8080	_	p	vcos.p	%zp, %yp
0xD0138080	0xFFFF8080	_	p	vcos.q	%zq, %yq
0xD0130000	0xFFFF8080	_	p	vcos.s	%zs, %ys
0xD0138000	0xFFFF8080	_	p	vcos.t	%zt, %yt
0x66808000	0xFF808080	_	p	vcrs.t	%zt, %yt, %xt
0xF2808000	0xFF808080	_	p	vcrsp.t	%zt, %yt, %xt
0xD0600080	0xFFE0FF80	_	p	vcst.p	%zp, %vk
0xD0608080	0xFFE0FF80	_	p	vcst.q	%zq, %vk
0xD0600000	0xFFE0FF80	_	p	vcst.s	%zs, %vk
0xD0608000	0xFFE0FF80	_	p	vcst.t	%zt, %vk
0x67000080	0xFF808080	_	p	vdet.p	%zs, %yp, %xp
0x63800080	0xFF808080	_	p	vdiv.p	%zp, %yp, %xp
0x63808080	0xFF808080	_	p	vdiv.q	%zq, %yq, %xq
0x63800000	0xFF808080	_	p	vdiv.s	%zs, %ys, %xs
0x63808000	0xFF808080	_	p	vdiv.t	%zt, %yt, %xt
0x64800080	0xFF808080	_	p	vdot.p	%zs, %yp, %xp
0x64808080	0xFF808080	_	p	vdot.q	%zs, %yq, %xq
0x64808000	0xFF808080	_	p	vdot.t	%zs, %yt, %xt
0xD0140080	0xFFFF8080	_	p	vexp2.p	%zp, %yp
0xD0148080	0xFFFF8080	_	p	vexp2.q	%zq, %yq
0xD0140000	0xFFFF8080	_	p	vexp2.s	%zs, %ys
0xD0148000	0xFFFF8080	_	p	vexp2.t	%zt, %yt
0xD0320080	0xFFFF8080	_	p	vf2h.p	%zs, %yp
0xD0328080	0xFFFF8080	_	p	vf2h.q	%zp, %yq
0xD2600080	0xFFE08080	_	p	vf2id.p	%zp, %yp, %v5
0xD2608080	0xFFE08080	_	p	vf2id.q	%zq, %yq, %v5
0xD2600000	0xFFE08080	_	p	vf2id.s	%zs, %ys, %v5
0xD2608000	0xFFE08080	_	p	vf2id.t	%zt, %yt, %v5
0xD2000080	0xFFE08080	_	p	vf2in.p	%zp, %yp, %v5
0xD2008080	0xFFE08080	_	p	vf2in.q	%zq, %yq, %v5
0xD2000000	0xFFE08080	_	p	vf2in.s	%zs, %ys, %v5
0xD2008000	0xFFE08080	_	p	vf2in.t	%zt, %yt, %v5
0xD2400080	0xFFE08080	_	p	vf2iu.p	%zp, %yp, %v5
0xD2408080	0xFFE08080	_	p	vf2iu.q	%zq, %yq, %v5
0xD2400000	0xFFE08080	_	p	vf2iu.s	%zs, %ys, %v5
0xD2408000	0xFFE08080	_	p	vf2iu.t	%zt, %yt, %v5
0xD2200080	0xFFE08080	_	p	vf2iz.p	%zp, %yp, %v5
0xD2208080	0xFFE08080	_	p	vf2iz.q	%zq, %yq, %v5
0xD2200000	0xFFE08080	_	p	vf2iz.s	%zs, %ys, %v5
0xD2208000	0xFFE08080	_	p	vf2iz.t	%zt, %yt, %v5
0xD0460080	0xFFFF8080	_	p	vfad.p	%zp, %yp
0xD0468080	0xFFFF8080	_	p	vfad.q	%zq, %yq
0xD0468000	0xFFFF8080	_	p	vfad.t	%zt, %yt
0xDF800000	0xFF800000	_	p	vfim.s	%xs, %vh
0xFFFF040D	0xFFFFFFFF	_	p	vflush	
0xD0330080	0xFFFF8080	_	p	vh2f.p	%zq, %yp
0xD0330000	0xFFFF8080	_	p	vh2f.s	%zp, %ys
0x66000080	0xFF808080	_	p	vhdp.p	%zs, %yp, %xp
0x66008080	0xFF808080	_	p	vhdp.q	%zs, %yq, %xq
0x66008000	0xFF808080	_	p	vhdp.t	%zs, %yt, %xt
0xF0800000	0xFF808080	_	p	vhtfm2.p	%zp, %ym, %xp
0xF1000080	0xFF808080	_	p	vhtfm3.t	%zt, %yn, %xt
0xF1808000	0xFF808080	_	p	vhtfm4.q	%zq, %yo, %xq
0xD03D8080	0xFFFF8080	_	p	vi2c.q	%zs, %yq
0xD2800080	0xFFE08080	_	p	vi2f.p	%zp, %yp, %v5
0xD2808080	0xFFE08080	_	p	vi2f.q	%zq, %yq, %v5
0xD2800000	0xFFE08080	_	p	vi2f.s	%zs, %ys, %v5
0xD2808000	0xFFE08080	_	p	vi2f.t	%zt, %yt, %v5
0xD03F0080	0xFFFF8080	_	p	vi2s.p	%zs, %yp
0xD03F8080	0xFFFF8080	_	p	vi2s.q	%zp, %yq
0xD03C8080	0xFFFF8080	_	p	vi2uc.q	%zq, %yq
0xD03E0080	0xFFFF8080	_	p	vi2us.p	%zq, %yq
0xD03E8080	0xFFFF8080	_	p	vi2us.q	%zq, %yq
0xD0030080	0xFFFFFF80	_	p	vidt.p	%zp
0xD0038080	0xFFFFFF80	_	p	vidt.q	%zq
0xDF000000	0xFF800000	_	p	viim.s	%xs, %vi
0xD0370000	0xFFFF8080	_	p	vlgb.s	%zs, %ys
0xD0150080	0xFFFF8080	_	p	vlog2.p	%zp, %yp
0xD0158080	0xFFFF8080	_	p	vlog2.q	%zq, %yq
